rent_price,address,sqr_m,name_place,rei_price,shikikin,maintenence_price,nearest_eki,apartment_type,year_built,ku_name,floor,house_type,Lat,Lon
8.5万円,大阪府大阪市北区堂島２,24.26m2,ザ・パークハビオ堂島,-,-,8000円,ＪＲ東西線/北新地駅 歩6分,1K,築3年,大阪府大阪市北区堂島２,"15階建
",賃貸マンション,,
5.9万円,大阪府大阪市北区神山町,23.62m2,エステムプラザ梅田・扇町公園パークランド,-,-,10100円,地下鉄堺筋線/扇町駅 歩1分,1DK,築16年,大阪府大阪市北区神山町,"
11階建
",賃貸マンション,,
6.15万円,大阪府大阪市東成区中道２,23.4m2,セオリー大阪城サウスゲート,-,-,12000円,ＪＲ大阪環状線/森ノ宮駅 歩8分,1K,築4年,大阪府大阪市東成区中道２,"13階建
",賃貸マンション,,
7.8万円,大阪府大阪市北区西天満３,33.23m2,Ｗｉｌｌ　Ｄｏ南森町,-,-,8500円,地下鉄谷町線/南森町駅 歩7分,1DK,築14年,大阪府大阪市北区西天満３,"
11階建
",賃貸マンション,,
8.8万円,大阪府大阪市北区曾根崎新地２,24.74m2,W.O.B. UMEDA,-,-,8000円,ＪＲ東西線/北新地駅 歩1分,1K,築8年,大阪府大阪市北区曾根崎新地２,"13階建
",賃貸マンション,,
5.8万円,大阪府大阪市城東区東中浜２,21.75m2,地下鉄中央線 緑橋駅 13階建 築2年,-,-,10000円,地下鉄中央線/緑橋駅 歩6分,1K,築2年,大阪府大阪市城東区東中浜２,"13階建
",賃貸マンション,,
6.4万円,大阪府大阪市北区天満２,25.41m2,ジュネーゼグラン天満,-,-,10000円,ＪＲ東西線/大阪天満宮駅 歩5分,1K,築14年,大阪府大阪市北区天満２,"
13階建
",賃貸マンション,,
6.3万円,大阪府大阪市北区西天満５,22.13m2,プレサンス梅田フロンティア,-,-,7000円,地下鉄谷町線/南森町駅 歩3分,1K,築20年,大阪府大阪市北区西天満５,"
11階建
",賃貸マンション,,
5.5万円,大阪府大阪市北区松ケ枝町,21.76m2,エスリード東天満第2,-,-,10000円,地下鉄谷町線/南森町駅 歩5分,1K,築19年,大阪府大阪市北区松ケ枝町,"
10階建
",賃貸マンション,,
6万円,大阪府大阪市北区天神橋１,20m2,TGT,-,-,7000円,ＪＲ東西線/大阪天満宮駅 歩5分,1K,築13年,大阪府大阪市北区天神橋１,"
11階建
",賃貸マンション,,
7.15万円,大阪府大阪市北区菅栄町,24.8m2,プレジオ天神橋,-,-,10000円,地下鉄谷町線/天神橋筋六丁目駅 歩1分,1K,築13年,大阪府大阪市北区菅栄町,"
15階建
",賃貸マンション,,
