rent_price,address,sqr_m,rei_price,shikikin,maintenence_price,apartment_type,year_built,ku_name,floor,house_type,eki_walk
9.95,東京都江東区亀戸７,34.39,9.95,0.0,6000.0,1DK,3,江東,11,賃貸マンション,11
11.5,東京都荒川区西尾久４,31.99,11.5,11.5,10000.0,2K,1,荒川,8,賃貸マンション,5
9.95,東京都江東区亀戸７,34.39,9.95,0.0,6000.0,1LDK,3,江東,11,賃貸マンション,11
12.4,東京都荒川区東日暮里２,40.03,12.4,0.0,4000.0,1LDK,4,荒川,4,賃貸マンション,9
11.5,東京都荒川区東尾久４,35.94,11.5,0.0,4500.0,1LDK,5,荒川,3,賃貸アパート,11
8.5,東京都品川区大井１,28.48,8.5,8.5,5000.0,1DK,30,品川,7,賃貸マンション,5
13.0,東京都杉並区荻窪５,37.72,13.0,13.0,8000.0,1DK,4,杉並,5,賃貸マンション,2
13.0,東京都杉並区荻窪５,37.72,13.0,13.0,8000.0,1DK,4,杉並,5,賃貸マンション,2
12.1,東京都港区赤坂４,25.11,12.1,12.1,10000.0,1K,5,港,5,賃貸マンション,5
11.3,東京都荒川区南千住３,37.1,11.3,22.6,5000.0,1DK,14,荒川,11,賃貸マンション,9
8.8,東京都中野区若宮２,41.81,8.8,8.8,4500.0,1DK,32,中野,2,賃貸アパート,10
7.9,東京都大田区西蒲田４,20.1,0.0,7.9,6000.0,1K,3,大田,4,賃貸マンション,8
11.4,東京都中野区上鷺宮２,40.6,11.4,0.0,12000.0,2DK,10,中野,6,賃貸マンション,11
13.0,東京都港区南麻布２,27.3,0.0,0.0,12000.0,1DK,0,港,0,賃貸マンション,8
12.55,東京都新宿区山吹町,25.35,0.0,0.0,12000.0,1DK,2,新宿,5,賃貸マンション,6
11.5,東京都荒川区東尾久３,43.72,0.0,0.0,10000.0,1LDK,29,荒川,5,賃貸マンション,2
10.4,東京都中野区鷺宮６,53.5,0.0,20.8,0.0,2SDK,44,中野,3,賃貸マンション,5
10.5,東京都荒川区西日暮里２,40.98,0.0,21.0,8000.0,2K,32,荒川,6,賃貸マンション,5
8.7,東京都荒川区南千住２,38.0,8.7,8.7,3000.0,2K,34,荒川,5,賃貸マンション,6
13.0,東京都中野区中野２,25.1,13.0,13.0,10000.0,2K,1,中野,11,賃貸マンション,5
17.0,東京都中野区新井１,46.07,17.0,17.0,3000.0,2K,13,中野,2,賃貸アパート,7
11.0,東京都目黒区碑文谷２,35.05,11.0,11.0,0.0,2K,30,目黒,3,賃貸マンション,12
